attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2
70,Iron Armor Pokémon,100,50,Cokodoraココドラ,Aron,304,40,40,30,steel,rock
90,Iron Armor Pokémon,140,60,Kodoraコドラ,Lairon,305,50,50,40,steel,rock
140,Iron Armor Pokémon,230,70,Bossgodoraボスゴドラ,Aggron,306,60,80,50,steel,rock
40,Meditate Pokémon,55,30,Asananアサナン,Meditite,307,40,55,60,fighting,psychic
100,Meditate Pokémon,85,60,Charemチャーレム,Medicham,308,80,85,100,fighting,psychic
45,Lightning Pokémon,40,40,Rakuraiラクライ,Electrike,309,65,40,65,electric,
75,Discharge Pokémon,80,70,Livoltライボルト,Manectric,310,135,80,135,electric,
50,Cheering Pokémon,40,60,Prasleプラスル,Plusle,311,85,75,95,electric,
40,Cheering Pokémon,50,60,Minunマイナン,Minun,312,75,85,95,electric,
73,Firefly Pokémon,75,65,Barubeatバルビート,Volbeat,313,47,85,85,bug,
47,Firefly Pokémon,75,65,Illumiseイルミーゼ,Illumise,314,73,85,85,bug,
60,Thorn Pokémon,45,50,Roseliaロゼリア,Roselia,315,100,80,65,grass,poison
43,Stomach Pokémon,53,70,Gokulinゴクリン,Gulpin,316,43,53,40,poison,
73,Poison Bag Pokémon,83,100,Marunoomマルノーム,Swalot,317,73,83,55,poison,
90,Savage Pokémon,20,45,Kibanhaキバニア,Carvanha,318,65,20,65,water,dark
140,Brutal Pokémon,70,70,Samehaderサメハダー,Sharpedo,319,110,65,105,water,dark
70,Ball Whale Pokémon,35,130,Hoerukoホエルコ,Wailmer,320,70,35,60,water,
90,Float Whale Pokémon,45,170,Whalohホエルオー,Wailord,321,90,45,60,water,
60,Numb Pokémon,40,60,Donmelドンメル,Numel,322,65,45,35,fire,ground
120,Eruption Pokémon,100,70,Bakuudaバクーダ,Camerupt,323,145,105,20,fire,ground
85,Coal Pokémon,140,70,Cotoiseコータス,Torkoal,324,85,70,20,fire,
25,Bounce Pokémon,35,60,Banebooバネブー,Spoink,325,70,80,60,psychic,
45,Manipulate Pokémon,65,80,Boopigブーピッグ,Grumpig,326,90,110,80,psychic,
60,Spot Panda Pokémon,60,60,Patcheelパッチール,Spinda,327,60,60,60,normal,
100,Ant Pit Pokémon,45,45,Nuckrarナックラー,Trapinch,328,45,45,10,ground,
70,Vibration Pokémon,50,50,Vibravaビブラーバ,Vibrava,329,50,50,70,ground,dragon
100,Mystic Pokémon,80,80,Flygonフライゴン,Flygon,330,80,80,100,ground,dragon
85,Cactus Pokémon,40,50,Saboneaサボネア,Cacnea,331,85,40,35,grass,
115,Scarecrow Pokémon,60,70,Noctusノクタス,Cacturne,332,115,60,55,grass,dark
40,Cotton Bird Pokémon,60,45,Tylttoチルット,Swablu,333,40,75,50,normal,flying
110,Humming Pokémon,110,75,Tyltalisチルタリス,Altaria,334,110,105,80,dragon,flying
115,Cat Ferret Pokémon,60,73,Zangooseザングース,Zangoose,335,60,60,90,normal,
100,Fang Snake Pokémon,60,73,Habunakeハブネーク,Seviper,336,100,60,65,poison,
55,Meteorite Pokémon,65,90,Lunatoneルナトーン,Lunatone,337,95,85,70,rock,psychic
95,Meteorite Pokémon,85,90,Solrockソルロック,Solrock,338,55,65,70,rock,psychic
48,Whiskers Pokémon,43,50,Dojoachドジョッチ,Barboach,339,46,41,60,water,ground
78,Whiskers Pokémon,73,110,Namazunナマズン,Whiscash,340,76,71,60,water,ground
80,Ruffian Pokémon,65,43,Heiganiヘイガニ,Corphish,341,50,35,35,water,
120,Rogue Pokémon,85,63,Shizarigerシザリガー,Crawdaunt,342,90,55,55,water,dark
40,Clay Doll Pokémon,55,40,Yajilonヤジロン,Baltoy,343,40,70,55,ground,psychic
70,Clay Doll Pokémon,105,60,Nendollネンドール,Claydol,344,70,120,75,ground,psychic
41,Sea Lily Pokémon,77,66,Lilylaリリーラ,Lileep,345,61,87,23,rock,grass
81,Barnacle Pokémon,97,86,Yuradleユレイドル,Cradily,346,81,107,43,rock,grass
95,Old Shrimp Pokémon,50,45,Anopthアノプス,Anorith,347,40,50,75,rock,bug
125,Plate Pokémon,100,75,Armaldoアーマルド,Armaldo,348,70,80,45,rock,bug
15,Fish Pokémon,20,20,Hinbassヒンバス,Feebas,349,10,55,80,water,
60,Tender Pokémon,79,95,Milokarossミロカロス,Milotic,350,100,125,81,water,
70,Weather Pokémon,70,70,Powalenポワルン,Castform,351,70,70,70,normal,
90,Color Swap Pokémon,70,60,Kakureonカクレオン,Kecleon,352,60,120,40,normal,
75,Puppet Pokémon,35,44,Kagebouzuカゲボウズ,Shuppet,353,63,33,45,ghost,
165,Marionette Pokémon,75,64,Juppetaジュペッタ,Banette,354,93,83,75,ghost,
40,Requiem Pokémon,90,20,Yomawaruヨマワル,Duskull,355,30,90,25,ghost,
70,Beckon Pokémon,130,40,Samayouruサマヨール,Dusclops,356,60,130,25,ghost,
68,Fruit Pokémon,83,99,Tropiusトロピウス,Tropius,357,72,87,51,grass,flying
50,Wind Chime Pokémon,80,75,Chireanチリーン,Chimecho,358,95,90,65,psychic,
150,Disaster Pokémon,60,65,Absolアブソル,Absol,359,115,60,115,dark,
23,Bright Pokémon,48,95,Sohnanoソーナノ,Wynaut,360,23,48,23,psychic,
50,Snow Hat Pokémon,50,50,Yukiwarashiユキワラシ,Snorunt,361,50,50,50,ice,
120,Face Pokémon,80,80,Onigohriオニゴーリ,Glalie,362,120,80,100,ice,
40,Clap Pokémon,50,70,Tamazarashiタマザラシ,Spheal,363,55,50,25,ice,water
60,Ball Roll Pokémon,70,90,Todogglerトドグラー,Sealeo,364,75,70,45,ice,water
80,Ice Break Pokémon,90,110,Todoserugaトドゼルガ,Walrein,365,95,90,65,ice,water
64,Bivalve Pokémon,85,35,Pearluluパールル,Clamperl,366,74,55,32,water,
104,Deep Sea Pokémon,105,55,Huntailハンテール,Huntail,367,94,75,52,water,
84,South Sea Pokémon,105,55,Sakurabyssサクラビス,Gorebyss,368,114,75,52,water,
90,Longevity Pokémon,130,100,Glanthジーランス,Relicanth,369,45,65,55,water,rock
30,Rendezvous Pokémon,55,43,Lovecusラブカス,Luvdisc,370,40,65,97,water,
75,Rock Head Pokémon,60,45,Tatsubayタツベイ,Bagon,371,40,30,50,dragon,
95,Endurance Pokémon,100,65,Komoruuコモルー,Shelgon,372,60,50,50,dragon,
145,Dragon Pokémon,130,95,Bohmanderボーマンダ,Salamence,373,120,90,120,dragon,flying
55,Iron Ball Pokémon,80,40,Dumbberダンバル,Beldum,374,35,60,30,steel,psychic
75,Iron Claw Pokémon,100,60,Metangメタング,Metang,375,55,80,50,steel,psychic
145,Iron Leg Pokémon,150,80,Metagrossメタグロス,Metagross,376,105,110,110,steel,psychic
100,Rock Peak Pokémon,200,80,Regirockレジロック,Regirock,377,50,100,50,rock,
50,Iceberg Pokémon,100,80,Regiceレジアイス,Regice,378,100,200,50,ice,
75,Iron Pokémon,150,80,Registeelレジスチル,Registeel,379,75,150,50,steel,
100,Eon Pokémon,120,80,Latiasラティアス,Latias,380,140,150,110,dragon,psychic
130,Eon Pokémon,100,80,Latiosラティオス,Latios,381,160,120,110,dragon,psychic
150,Sea Basin Pokémon,90,100,Kyogreカイオーガ,Kyogre,382,180,160,90,water,
180,Continent Pokémon,160,100,Groudonグラードン,Groudon,383,150,90,90,ground,
180,Sky High Pokémon,100,105,Rayquazaレックウザ,Rayquaza,384,180,100,115,dragon,flying
100,Wish Pokémon,100,100,Jirachiジラーチ,Jirachi,385,100,100,100,steel,psychic
95,DNA Pokémon,90,50,Deoxysデオキシス,Deoxys,386,95,90,180,psychic,
68,Tiny Leaf Pokémon,64,55,Naetleナエトル,Turtwig,387,45,55,31,grass,
89,Grove Pokémon,85,75,Hayashigameハヤシガメ,Grotle,388,55,65,36,grass,
109,Continent Pokémon,105,95,Dodaitoseドダイトス,Torterra,389,75,85,56,grass,ground
58,Chimp Pokémon,44,44,Hikozaruヒコザル,Chimchar,390,58,44,61,fire,
78,Playful Pokémon,52,64,Moukazaruモウカザル,Monferno,391,78,52,81,fire,fighting
104,Flame Pokémon,71,76,Goukazaruゴウカザル,Infernape,392,104,71,108,fire,fighting
51,Penguin Pokémon,53,53,Pochamaポッチャマ,Piplup,393,61,56,40,water,
66,Penguin Pokémon,68,64,Pottaishiポッタイシ,Prinplup,394,81,76,50,water,
86,Emperor Pokémon,88,84,Emperteエンペルト,Empoleon,395,111,101,60,water,steel
55,Starling Pokémon,30,40,Mukkuruムックル,Starly,396,30,30,60,normal,flying
75,Starling Pokémon,50,55,Mukubirdムクバード,Staravia,397,40,40,80,normal,flying
120,Predator Pokémon,70,85,Mukuhawkムクホーク,Staraptor,398,50,60,100,normal,flying
45,Plump Mouse Pokémon,40,59,Bippaビッパ,Bidoof,399,35,40,31,normal,
85,Beaver Pokémon,60,79,Beadaruビーダル,Bibarel,400,55,60,71,normal,water
25,Cricket Pokémon,41,37,Korobohshiコロボーシ,Kricketot,401,25,41,25,bug,
85,Cricket Pokémon,51,77,Korotockコロトック,Kricketune,402,55,51,65,bug,
65,Flash Pokémon,34,45,Kolinkコリンク,Shinx,403,40,34,45,electric,
85,Spark Pokémon,49,60,Luxioルクシオ,Luxio,404,60,49,60,electric,
120,Gleam Eyes Pokémon,79,80,Rentorarレントラー,Luxray,405,95,79,70,electric,
30,Bud Pokémon,35,40,Subomieスボミー,Budew,406,50,70,55,grass,poison
70,Bouquet Pokémon,65,60,Roseradeロズレイド,Roserade,407,125,105,90,grass,poison
125,Head Butt Pokémon,40,67,Zugaidosズガイドス,Cranidos,408,30,30,58,rock,
165,Head Butt Pokémon,60,97,Rampaldラムパルド,Rampardos,409,65,50,58,rock,
42,Shield Pokémon,118,30,Tatetopsタテトプス,Shieldon,410,42,88,30,rock,steel
52,Shield Pokémon,168,60,Toridepsトリデプス,Bastiodon,411,47,138,30,rock,steel
29,Bagworm Pokémon,45,40,Minomucchiミノムッチ,Burmy,412,29,45,36,bug,
69,Bagworm Pokémon,95,60,Minomadam (kusaki No Mino)ミノマダム,Wormadam,413,69,95,36,bug,grass
94,Moth Pokémon,50,70,Gamaleガーメイル,Mothim,414,94,50,66,bug,flying
30,Tiny Bee Pokémon,42,30,Mitsuhoneyミツハニー,Combee,415,30,42,70,bug,flying
80,Beehive Pokémon,102,70,Beequenビークイン,Vespiquen,416,80,102,40,bug,flying
45,EleSquirrel Pokémon,70,60,Pachirisuパチリス,Pachirisu,417,45,90,95,electric,
65,Sea Weasel Pokémon,35,55,Buoyselブイゼル,Buizel,418,60,30,85,water,
105,Sea Weasel Pokémon,55,85,Floazelフローゼル,Floatzel,419,85,50,115,water,
35,Cherry Pokémon,45,45,Cherinboチェリンボ,Cherubi,420,62,53,35,grass,
60,Blossom Pokémon,70,70,Cherrimチェリム,Cherrim,421,87,78,85,grass,
48,Sea Slug Pokémon,48,76,Karanakushiカラナクシ,Shellos,422,57,62,34,water,
83,Sea Slug Pokémon,68,111,Tritodonトリトドン,Gastrodon,423,92,82,39,water,ground
100,Long Tail Pokémon,66,75,Etebothエテボース,Ambipom,424,60,66,115,normal,
50,Balloon Pokémon,34,90,Fuwanteフワンテ,Drifloon,425,60,44,70,ghost,flying
80,Blimp Pokémon,44,150,Fuwarideフワライド,Drifblim,426,90,54,80,ghost,flying
66,Rabbit Pokémon,44,55,Mimirolミミロル,Buneary,427,44,56,85,normal,
136,Rabbit Pokémon,94,65,Mimilopミミロップ,Lopunny,428,54,96,135,normal,
60,Magical Pokémon,60,60,Mumargiムウマージ,Mismagius,429,105,105,105,ghost,
125,Big Boss Pokémon,52,100,Dongkarasuドンカラス,Honchkrow,430,105,52,71,dark,flying
55,Catty Pokémon,42,49,Nyarmarニャルマー,Glameow,431,42,37,85,normal,
82,Tiger Cat Pokémon,64,71,Bunyattoブニャット,Purugly,432,64,59,112,normal,
30,Bell Pokémon,50,45,Lisyanリーシャン,Chingling,433,65,50,45,psychic,
63,Skunk Pokémon,47,63,Skunpuuスカンプー,Stunky,434,41,41,74,poison,dark
93,Skunk Pokémon,67,103,Skutankスカタンク,Skuntank,435,71,61,84,poison,dark
24,Bronze Pokémon,86,57,Dohmirrorドーミラー,Bronzor,436,24,86,23,steel,psychic
89,Bronze Bell Pokémon,116,67,Dohtakunドータクン,Bronzong,437,79,116,33,steel,psychic
80,Bonsai Pokémon,95,50,Usohachiウソハチ,Bonsly,438,10,45,10,rock,
25,Mime Pokémon,45,20,Maneneマネネ,Mime Jr.,439,70,90,60,psychic,fairy
5,Playhouse Pokémon,5,100,Pinpukuピンプク,Happiny,440,15,65,30,normal,
65,Music Note Pokémon,45,76,Perapペラップ,Chatot,441,92,42,91,normal,flying
92,Forbidden Pokémon,108,50,Mikarugeミカルゲ,Spiritomb,442,92,108,35,ghost,dark
70,Land Shark Pokémon,45,58,Fukamaruフカマル,Gible,443,40,45,42,dragon,ground
90,Cave Pokémon,65,68,Gabiteガバイト,Gabite,444,50,55,82,dragon,ground
170,Mach Pokémon,115,108,Gaburiasガブリアス,Garchomp,445,120,95,92,dragon,ground
85,Big Eater Pokémon,40,135,Gonbeゴンベ,Munchlax,446,40,85,5,normal,
70,Emanation Pokémon,40,40,Rioluリオル,Riolu,447,35,40,60,fighting,
145,Aura Pokémon,88,70,Lucarioルカリオ,Lucario,448,140,70,112,fighting,steel
72,Hippo Pokémon,78,68,Hippopotasヒポポタス,Hippopotas,449,38,42,32,ground,
112,Heavyweight Pokémon,118,108,Kabaldonカバルドン,Hippowdon,450,68,72,47,ground,
50,Scorpion Pokémon,90,40,Scorupiスコルピ,Skorupi,451,30,55,65,poison,bug
90,Ogre Scorp Pokémon,110,70,Dorapionドラピオン,Drapion,452,60,75,95,poison,dark
61,Toxic Mouth Pokémon,40,48,Gureggruグレッグル,Croagunk,453,61,40,50,poison,fighting
106,Toxic Mouth Pokémon,65,83,Dokurogドクロッグ,Toxicroak,454,86,65,85,poison,fighting
100,Bug Catcher Pokémon,72,74,Muskippaマスキッパ,Carnivine,455,90,72,46,grass,
49,Wing Fish Pokémon,56,49,Keikouoケイコウオ,Finneon,456,49,61,66,water,
69,Neon Pokémon,76,69,Neolantネオラント,Lumineon,457,69,86,91,water,
20,Kite Pokémon,50,45,Tamantaタマンタ,Mantyke,458,60,120,50,water,flying
62,Frosted Tree Pokémon,50,60,Yukikaburiユキカブリ,Snover,459,62,60,40,grass,ice
132,Frosted Tree Pokémon,105,90,Yukinoohユキノオー,Abomasnow,460,132,105,30,grass,ice
120,Sharp Claw Pokémon,65,70,Manyulaマニューラ,Weavile,461,45,85,125,dark,ice
70,Magnet Area Pokémon,115,70,Jibacoilジバコイル,Magnezone,462,130,90,60,electric,steel
85,Licking Pokémon,95,110,Berobeltベロベルト,Lickilicky,463,80,95,50,normal,
140,Drill Pokémon,130,115,Dosidonドサイドン,Rhyperior,464,55,55,40,ground,rock
100,Vine Pokémon,125,100,Mojumboモジャンボ,Tangrowth,465,110,50,50,grass,
123,Thunderbolt Pokémon,67,75,Elekibleエレキブル,Electivire,466,95,85,95,electric,
95,Blast Pokémon,67,75,Booburnブーバーン,Magmortar,467,125,95,83,fire,
50,Jubilee Pokémon,95,85,Togekissトゲキッス,Togekiss,468,120,115,80,fairy,flying
76,Ogre Darner Pokémon,86,86,Megayanmaメガヤンマ,Yanmega,469,116,56,95,bug,flying
110,Verdant Pokémon,130,65,Leafiaリーフィア,Leafeon,470,60,65,95,grass,
60,Fresh Snow Pokémon,110,65,Glaciaグレイシア,Glaceon,471,130,95,65,ice,
95,Fang Scorp Pokémon,125,75,Glionグライオン,Gliscor,472,45,75,95,ground,flying
130,Twin Tusk Pokémon,80,110,Mammooマンムー,Mamoswine,473,70,60,80,ice,ground
80,Virtual Pokémon,70,85,Porygon-zポリゴンＺ,Porygon-Z,474,135,75,90,normal,
165,Blade Pokémon,95,68,Erureidoエルレイド,Gallade,475,65,115,110,psychic,fighting
55,Compass Pokémon,145,60,Dainoseダイノーズ,Probopass,476,75,150,40,rock,steel
100,Gripper Pokémon,135,45,Yonoirヨノワール,Dusknoir,477,65,135,45,ghost,
80,Snow Land Pokémon,70,70,Yukimenokoユキメノコ,Froslass,478,80,70,110,ice,ghost
65,Plasma Pokémon,107,50,Rotomロトム,Rotom,479,105,107,86,electric,ghost
75,Knowledge Pokémon,130,75,Yuxieユクシー,Uxie,480,75,130,95,psychic,
105,Emotion Pokémon,105,80,Emritエムリット,Mesprit,481,105,105,80,psychic,
125,Willpower Pokémon,70,75,Agnomeアグノム,Azelf,482,125,70,115,psychic,
120,Temporal Pokémon,120,100,Dialgaディアルガ,Dialga,483,150,100,90,steel,dragon
120,Spatial Pokémon,100,90,Palkiaパルキア,Palkia,484,150,120,100,water,dragon
90,Lava Dome Pokémon,106,91,Heatranヒードラン,Heatran,485,130,106,77,fire,steel
160,Colossal Pokémon,110,110,Regigigasレジギガス,Regigigas,486,80,110,100,normal,
120,Renegade Pokémon,100,150,Giratina (another Forme)ギラティナ,Giratina,487,120,100,90,ghost,dragon
70,Lunar Pokémon,120,120,Cresseliaクレセリア,Cresselia,488,75,130,85,psychic,
80,Sea Drifter Pokémon,80,80,Phioneフィオネ,Phione,489,80,80,80,water,
100,Seafaring Pokémon,100,100,Manaphyマナフィ,Manaphy,490,100,100,100,water,
90,Pitch-Black Pokémon,90,70,Darkraiダークライ,Darkrai,491,135,90,125,dark,
103,Gratitude Pokémon,75,100,Shaymin (sky Forme)シェイミ,Shaymin,492,120,75,127,grass,grass
120,Alpha Pokémon,120,120,Arceusアルセウス,Arceus,493,120,120,120,normal,
100,Victory Pokémon,100,100,Victiniビクティニ,Victini,494,100,100,100,psychic,fire
45,Grass Snake Pokémon,55,45,Tsutarjaツタージャ,Snivy,495,45,55,63,grass,
60,Grass Snake Pokémon,75,60,Janovyジャノビー,Servine,496,60,75,83,grass,
75,Regal Pokémon,95,75,Jalordaジャローダ,Serperior,497,75,95,113,grass,
63,Fire Pig Pokémon,45,65,Pokabuポカブ,Tepig,498,45,45,45,fire,
93,Fire Pig Pokémon,55,90,Chaobooチャオブー,Pignite,499,70,55,55,fire,fighting
123,Mega Fire Pig Pokémon,65,110,Enbuohエンブオー,Emboar,500,100,65,65,fire,fighting
55,Sea Otter Pokémon,45,55,Mijumaruミジュマル,Oshawott,501,63,45,45,water,
75,Discipline Pokémon,60,75,Futachimaruフタチマル,Dewott,502,83,60,60,water,
100,Formidable Pokémon,85,95,Daikenkiダイケンキ,Samurott,503,108,70,70,water,
55,Scout Pokémon,39,45,Minezumiミネズミ,Patrat,504,35,39,42,normal,
85,Lookout Pokémon,69,60,Miruhogミルホッグ,Watchog,505,60,69,77,normal,
60,Puppy Pokémon,45,45,Yorterrieヨーテリー,Lillipup,506,25,45,55,normal,
80,Loyal Dog Pokémon,65,65,Herderrieハーデリア,Herdier,507,35,65,60,normal,
110,Big-Hearted Pokémon,90,85,Moolandムーランド,Stoutland,508,45,90,80,normal,
50,Devious Pokémon,37,41,Choronekoチョロネコ,Purrloin,509,50,37,66,dark,
88,Cruel Pokémon,50,64,Lepardasレパルダス,Liepard,510,88,50,106,dark,
53,Grass Monkey Pokémon,48,50,Yanappuヤナップ,Pansage,511,53,48,64,grass,
98,Thorn Monkey Pokémon,63,75,Yanakkieヤナッキー,Simisage,512,98,63,101,grass,
53,High Temp Pokémon,48,50,Baoppuバオップ,Pansear,513,53,48,64,fire,
98,Ember Pokémon,63,75,Baokkieバオッキー,Simisear,514,98,63,101,fire,
53,Spray Pokémon,48,50,Hiyappuヒヤップ,Panpour,515,53,48,64,water,
98,Geyser Pokémon,63,75,Hiyakkieヒヤッキー,Simipour,516,98,63,101,water,
25,Dream Eater Pokémon,45,76,Munnaムンナ,Munna,517,67,55,24,psychic,
55,Drowsing Pokémon,85,116,Musharnaムシャーナ,Musharna,518,107,95,29,psychic,
55,Tiny Pigeon Pokémon,50,50,Mamepatoマメパト,Pidove,519,36,30,43,normal,flying
77,Wild Pigeon Pokémon,62,62,Hatobohハトーボー,Tranquill,520,50,42,65,normal,flying
115,Proud Pokémon,80,80,Kenhallowケンホロウ,Unfezant,521,65,55,93,normal,flying
60,Electrified Pokémon,32,45,Shimamaシママ,Blitzle,522,50,32,76,electric,
100,Thunderbolt Pokémon,63,75,Zebraikaゼブライカ,Zebstrika,523,80,63,116,electric,
75,Mantle Pokémon,85,55,Dangoroダンゴロ,Roggenrola,524,25,25,15,rock,
105,Ore Pokémon,105,70,Gantleガントル,Boldore,525,50,40,20,rock,
135,Compressed Pokémon,130,85,Gigaiathギガイアス,Gigalith,526,60,80,25,rock,
45,Bat Pokémon,43,65,Koromoriコロモリ,Woobat,527,55,43,72,psychic,flying
57,Courting Pokémon,55,67,Kokoromoriココロモリ,Swoobat,528,77,55,114,psychic,flying
85,Mole Pokémon,40,60,Mogurewモグリュー,Drilbur,529,30,45,68,ground,
135,Subterrene Pokémon,60,110,Doryuzuドリュウズ,Excadrill,530,50,65,88,ground,steel
60,Hearing Pokémon,126,103,Tabunneタブンネ,Audino,531,80,126,50,normal,
80,Muscular Pokémon,55,75,Dokkorerドッコラー,Timburr,532,25,35,35,fighting,
105,Muscular Pokémon,85,85,Dotekkotsuドテッコツ,Gurdurr,533,40,50,40,fighting,
140,Muscular Pokémon,95,105,Roubushinローブシン,Conkeldurr,534,55,65,45,fighting,
50,Tadpole Pokémon,40,50,Otamaroオタマロ,Tympole,535,50,40,64,water,
65,Vibration Pokémon,55,75,Gamagaruガマガル,Palpitoad,536,65,55,69,water,ground
95,Vibration Pokémon,75,105,Gamagerogeガマゲロゲ,Seismitoad,537,85,75,74,water,ground
100,Judo Pokémon,85,120,Nagekiナゲキ,Throh,538,30,85,45,fighting,
125,Karate Pokémon,75,75,Dagekiダゲキ,Sawk,539,30,75,85,fighting,
53,Sewing Pokémon,70,45,Kurumiruクルミル,Sewaddle,540,40,60,42,bug,grass
63,Leaf-Wrapped Pokémon,90,55,Kurumayuクルマユ,Swadloon,541,50,80,42,bug,grass
103,Nurturing Pokémon,80,75,Hahakomoriハハコモリ,Leavanny,542,70,80,92,bug,grass
45,Centipede Pokémon,59,30,Fushideフシデ,Venipede,543,30,39,57,bug,poison
55,Curlipede Pokémon,99,40,Wheegaホイーガ,Whirlipede,544,40,79,47,bug,poison
100,Megapede Pokémon,89,60,Pendrorペンドラー,Scolipede,545,55,69,112,bug,poison
27,Cotton Puff Pokémon,60,40,Monmenモンメン,Cottonee,546,37,50,66,grass,fairy
67,Windveiled Pokémon,85,60,Elfuunエルフーン,Whimsicott,547,77,75,116,grass,fairy
35,Bulb Pokémon,50,45,Churineチュリネ,Petilil,548,70,50,30,grass,
60,Flowering Pokémon,75,70,Dredearドレディア,Lilligant,549,110,75,90,grass,
92,Hostile Pokémon,65,70,Bassraoバスラオ,Basculin,550,80,55,98,water,
72,Desert Croc Pokémon,35,50,Megurocoメグロコ,Sandile,551,35,35,65,ground,dark
82,Desert Croc Pokémon,45,60,Waruvileワルビル,Krokorok,552,45,45,74,ground,dark
117,Intimidation Pokémon,80,95,Waruvialワルビアル,Krookodile,553,65,70,92,ground,dark
90,Zen Charm Pokémon,45,70,Darumakkaダルマッカ,Darumaka,554,15,45,50,fire,
30,Blazing Pokémon,105,105,Hihidarumaヒヒダルマ,Darmanitan,555,140,105,55,fire,fire
86,Cactus Pokémon,67,75,Maracacchiマラカッチ,Maractus,556,106,67,60,grass,
65,Rock Inn Pokémon,85,50,Ishizumaiイシズマイ,Dwebble,557,35,35,55,bug,rock
105,Stone Home Pokémon,125,70,Iwapalaceイワパレス,Crustle,558,65,75,45,bug,rock
75,Shedding Pokémon,70,50,Zurugguズルッグ,Scraggy,559,35,70,48,dark,fighting
90,Hoodlum Pokémon,115,65,Zuruzukinズルズキン,Scrafty,560,45,115,58,dark,fighting
58,Avianoid Pokémon,80,72,Symbolerシンボラー,Sigilyph,561,103,80,97,psychic,flying
30,Spirit Pokémon,85,38,Desumasuデスマス,Yamask,562,55,65,30,ghost,
50,Coffin Pokémon,145,58,Desukarnデスカーン,Cofagrigus,563,95,105,30,ghost,
78,Prototurtle Pokémon,103,54,Protogaプロトーガ,Tirtouga,564,53,45,22,water,rock
108,Prototurtle Pokémon,133,74,Abagouraアバゴーラ,Carracosta,565,83,65,32,water,rock
112,First Bird Pokémon,45,55,Archenアーケン,Archen,566,74,45,70,rock,flying
140,First Bird Pokémon,65,75,Archeosアーケオス,Archeops,567,112,65,110,rock,flying
50,Trash Bag Pokémon,62,50,Yabukuronヤブクロン,Trubbish,568,40,62,65,poison,
95,Trash Heap Pokémon,82,80,Dustdasダストダス,Garbodor,569,60,82,75,poison,
65,Tricky Fox Pokémon,40,40,Zoruaゾロア,Zorua,570,80,40,65,dark,
105,Illusion Fox Pokémon,60,60,Zoroarkゾロアーク,Zoroark,571,120,60,105,dark,
50,Chinchilla Pokémon,40,55,Chillarmyチラーミィ,Minccino,572,40,40,75,normal,
95,Scarf Pokémon,60,75,Chillaccinoチラチーノ,Cinccino,573,65,60,115,normal,
30,Fixation Pokémon,50,45,Gothimuゴチム,Gothita,574,55,65,45,psychic,
45,Manipulate Pokémon,70,60,Gothimiruゴチミル,Gothorita,575,75,85,55,psychic,
55,Astral Body Pokémon,95,70,Gothiruselleゴチルゼル,Gothitelle,576,95,110,65,psychic,
30,Cell Pokémon,40,45,Uniranユニラン,Solosis,577,105,50,20,psychic,
40,Mitosis Pokémon,50,65,Doublanダブラン,Duosion,578,125,60,30,psychic,
65,Multiplying Pokémon,75,110,Lanculusランクルス,Reuniclus,579,125,85,30,psychic,
44,Water Bird Pokémon,50,62,Koaruhieコアルヒー,Ducklett,580,44,50,55,water,flying
87,White Bird Pokémon,63,75,Swannaスワンナ,Swanna,581,87,63,98,water,flying
50,Fresh Snow Pokémon,50,36,Vanipetiバニプッチ,Vanillite,582,65,60,44,ice,
65,Icy Snow Pokémon,65,51,Vanirichバニリッチ,Vanillish,583,80,75,59,ice,
95,Snowstorm Pokémon,85,71,Baivanillaバイバニラ,Vanilluxe,584,110,95,79,ice,
60,Season Pokémon,50,60,Shikijikaシキジカ,Deerling,585,40,50,75,normal,grass
100,Season Pokémon,70,80,Mebukijikaメブキジカ,Sawsbuck,586,60,70,95,normal,grass
75,Sky Squirrel Pokémon,60,55,Emongaエモンガ,Emolga,587,75,60,103,electric,flying
75,Clamping Pokémon,45,50,Kaburumoカブルモ,Karrablast,588,40,45,60,bug,
135,Cavalry Pokémon,105,70,Chevargoシュバルゴ,Escavalier,589,60,105,20,bug,steel
55,Mushroom Pokémon,45,69,Tamagetakeタマゲタケ,Foongus,590,55,55,15,grass,poison
85,Mushroom Pokémon,70,114,Morobareruモロバレル,Amoonguss,591,85,80,30,grass,poison
40,Floating Pokémon,50,55,Pururillプルリル,Frillish,592,65,85,40,water,ghost
60,Floating Pokémon,70,100,Burungelブルンゲル,Jellicent,593,85,105,60,water,ghost
75,Caring Pokémon,80,165,Mamanbouママンボウ,Alomomola,594,40,45,65,water,
47,Attaching Pokémon,50,50,Bachuruバチュル,Joltik,595,57,50,65,bug,electric
77,EleSpider Pokémon,60,70,Dentulaデンチュラ,Galvantula,596,97,60,108,bug,electric
50,Thorn Seed Pokémon,91,44,Tesseedテッシード,Ferroseed,597,24,86,10,grass,steel
94,Thorn Pod Pokémon,131,74,Nutreyナットレイ,Ferrothorn,598,54,116,20,grass,steel
55,Gear Pokémon,70,40,Giaruギアル,Klink,599,45,60,30,steel,
80,Gear Pokémon,95,60,Gigiaruギギアル,Klang,600,70,85,50,steel,
100,Gear Pokémon,115,60,Gigigiaruギギギアル,Klinklang,601,70,85,90,steel,
55,EleFish Pokémon,40,35,Shibishirasuシビシラス,Tynamo,602,45,40,60,electric,
